"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.02,1.79716939443721E-05,-0.0212809046200655,0.0212629329261211
0.04,8.06076688261317E-06,-0.0490342895267107,0.0490262287598281
0.06,-1.14646482917976E-05,-0.0723385085380888,0.0723499731863806
0.08,-3.1531632874671E-05,-0.0900543777986505,0.0900859094315251
0.1,-2.67616407294566E-05,-0.107056506734015,0.107083268374745
0.12,-6.26701059354461E-06,-0.125096519000802,0.125102786011396
0.14,-4.79361024710336E-06,-0.147731373840872,0.147736167451119
0.16,-1.11214884330296E-05,-0.173947271464443,0.173958392952877
0.18,-3.61125656987074E-05,-0.199122893403953,0.199159005969652
0.2,-4.8808110462637E-05,-0.222390142450229,0.222438950560692
0.22,-2.2485960623096E-05,-0.24424021557479,0.244262701535414
0.24,-3.12019122714291E-05,-0.271191227013813,0.271222428926085
0.26,-4.99858125208052E-05,-0.298468436709479,0.298518422522
0.28,-6.2092084804506E-05,-0.32003120320162,0.320093295286424
0.3,-6.60436310297735E-05,-0.337419524435809,0.337485568066838
0.32,-4.69357254136066E-05,-0.35421869880133,0.354265634526744
0.34,-5.16751390567631E-05,-0.374210219178906,0.374261894317963
0.36,-6.07916814186743E-05,-0.397177483175138,0.397238274856556
0.38,-7.53147028063021E-05,-0.419016785960223,0.419092100663028
0.4,-8.29761574164151E-05,-0.436190848649797,0.436273824807213
0.42,-5.97113646913055E-05,-0.454021139204843,0.454080850569534
0.44,-6.67490743103249E-05,-0.474496255164276,0.474563004238586
0.46,-8.87009591739615E-05,-0.490043643352973,0.490132344312147
0.48,-9.84666412221222E-05,-0.50110160547654,0.501200072117763
0.5,-9.44457398994208E-05,-0.509619164657275,0.509713610397174
0.52,-7.41379224920834E-05,-0.518501792166144,0.518575930088636
0.54,-7.37165979016754E-05,-0.531508662882892,0.531582379480794
0.56,-7.88669297011244E-05,-0.545534481952482,0.545613348882183
0.58,-8.94821778006469E-05,-0.559324733272937,0.559414215450737
0.6,-9.59505570715423E-05,-0.573693429287038,0.57378937984411
0.62,-7.43488658840725E-05,-0.584732695792705,0.584807044658588
0.64,-7.11146494743035E-05,-0.601025898416172,0.601097013065647
0.66,-8.04930002389066E-05,-0.618814739569436,0.618895232569674
0.68,-9.63081033926077E-05,-0.631964705462419,0.632061013565812
0.7,-0.000100996450826471,-0.642668009980513,0.642769006431339
0.72,-7.83830085053863E-05,-0.651054012285704,0.65113239529421
0.74,-7.17723294146443E-05,-0.662450108500529,0.662521880829944
0.76,-7.28267792318683E-05,-0.678937510341966,0.679010337121197
0.78,-8.62710647766578E-05,-0.696940510253721,0.697026781318497
0.8,-0.000103121162564567,-0.712556971643909,0.712660092806473
0.82,-7.55211013887907E-05,-0.72588694235654,0.725962463457929
0.84,-7.54383422826114E-05,-0.743442925539023,0.743518363881306
0.86,-9.61482648737633E-05,-0.762005016004518,0.762101164269391
0.88,-0.000103408536024799,-0.776105240209109,0.776208648745133
0.9,-0.000103894904706112,-0.786586790738635,0.786690685643341
0.92,-8.3060879327728E-05,-0.796362905613606,0.796445966492934
0.94,-7.98623698042424E-05,-0.809588011984897,0.809667874354701
0.96,-8.70128416368057E-05,-0.826425042619615,0.826512055461252
0.98,-9.77604025644126E-05,-0.843887015482999,0.843984775885563
1,-0.000103677894805991,-0.85855138904777,0.858655066942576
1.02,-8.21879879672075E-05,-0.8730942602993,0.873176448287267
1.04,-7.71299182890641E-05,-0.892035990011111,0.892113119929401
1.06,-9.453159997065E-05,-0.907685243525923,0.907779775125894
1.08,-0.000114964861903777,-0.9189123947238,0.919027359585703
1.1,-0.000109931763929329,-0.928893685251582,0.929003617015512
1.12,-9.03839473858121E-05,-0.938304504210426,0.938394888157812
1.14,-8.33038220763432E-05,-0.952211518577147,0.952294822399223
1.16,-8.26485483676526E-05,-0.971082087160185,0.971164735708553
1.18,-0.000100216343368451,-0.990865452363987,0.990965668707355
1.2,-0.000116029995082625,-1.01244896943309,1.01256499942818
1.22,-9.56913743902747E-05,-1.03231051075356,1.03240620212795
1.24,-9.07693838471732E-05,-1.05782090128914,1.05791167067298
1.26,-0.0001040423148335,-1.08778986509152,1.08789390740635
1.28,-0.000121119000777003,-1.1142785495812,1.11439966858197
1.3,-0.000134528745485802,-1.14028034291739,1.14041487166288
1.32,-0.000117050828252009,-1.16595815529994,1.16607520612819
1.34,-0.000109772765227631,-1.19550211470643,1.19561188747165
1.36,-0.000115310320593977,-1.23143609505781,1.2315514053784
1.38,-0.000131179958773359,-1.27024096931788,1.27037214927666
1.4,-0.000152692062183666,-1.30726446470247,1.30741715676465
1.42,-0.000134575791048059,-1.3420802848045,1.34221486059555
1.44,-0.000129414153008966,-1.37874242810495,1.37887184225796
1.46,-0.000154988327097867,-1.41799461347565,1.41814960180275
1.48,-0.000167792406358219,-1.46025614336187,1.46042393576823
1.5,-0.000173219227081971,-1.49857740399242,1.49875062321949
1.52,-0.000158718535050368,-1.53403275787891,1.53419147641397
1.54,-0.000153838804671972,-1.57066335293801,1.57081719174268
1.56,-0.000164308810333188,-1.60906578203364,1.60923009084398
1.58,-0.000175839029403112,-1.65224360436162,1.65241944339103
1.6,-0.000188892781368254,-1.69826935454593,1.69845824732729
1.62,0.0780848679465223,-1.69842515636541,1.62034028841889
1.64,0.265630702399292,-1.63594109977814,1.37031039737885
1.66,0.440431900819491,-1.57331659817818,1.13288469735869
1.68,0.597545925600857,-1.50264546292682,0.905099537325969
1.7,0.744561749978376,-1.42845079444418,0.683889044465802
1.72,0.896296910948593,-1.35658670632093,0.460289795372334
1.74,1.05380979085611,-1.28846960285644,0.234659812000333
1.76,1.20739970494104,-1.22509994383169,0.0177002388906475
1.78,1.24820737863228,-1.24808024727535,-0.000127131356939448
1.8,1.27173876127844,-1.27161895483954,-0.000119806438888483
1.82,1.29698389494043,-1.29685178444972,-0.00013211049070951
1.84,1.32661242772457,-1.32647226376206,-0.000140163962512388
1.86,1.35500477070488,-1.35488769351427,-0.000117077190611185
1.88,1.37854820958533,-1.37844270006322,-0.000105509522116183
1.9,1.39483310141636,-1.39473280069036,-0.000100300725995659
1.92,1.41147222481736,-1.41136034522648,-0.000111879590880797
1.94,1.43086311529232,-1.43074515716623,-0.000117958126086579
1.96,1.45070531201226,-1.45059507752155,-0.000110234490711907
1.98,1.47104736861118,-1.47094978636867,-9.75822425122264E-05
2,1.48589363156604,-1.48580815479835,-8.54767676840762E-05
2.02,1.50082251705701,-1.50072548336851,-9.7033688495216E-05
2.04,1.52092866933904,-1.52082249164661,-0.000106177692431011
2.06,1.53557842858598,-1.53548837823646,-9.00503495224033E-05
2.08,1.54223453270977,-1.54215416630053,-8.0366409246748E-05
2.1,1.54578558668509,-1.54570549135692,-8.00953281778405E-05
2.12,1.5516255107154,-1.5515322836089,-9.32271064983417E-05
2.14,1.56231287868705,-1.56221162041853,-0.000101258268518105
2.16,1.57405407144266,-1.5739593153103,-9.47561323502377E-05
2.18,1.58449044574814,-1.58439839240512,-9.20533430141557E-05
2.2,1.59328604845628,-1.5932059999633,-8.0048492976772E-05
2.22,1.60255906563798,-1.60247110377976,-8.79618582244747E-05
2.24,1.61656683272445,-1.61646698050758,-9.98522168716237E-05
2.26,1.6349328521023,-1.63484158592735,-9.12661749612019E-05
2.28,1.64500781364945,-1.64492324556126,-8.4568088194885E-05
2.3,1.64840612118744,-1.64833071827775,-7.54029096918261E-05
2.32,1.65373987613754,-1.65365214704468,-8.77290928672191E-05
2.34,1.66341786508485,-1.66331595472533,-0.000101910359522321
