"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.02,1.09659773868494E-05,-0.02075606084146,0.0207450948640732
0.04,-1.55980355201269E-06,-0.0454033174674662,0.0454048772710182
0.06,-1.59305457719452E-05,-0.0686656017617782,0.0686815323075502
0.08,-2.48852582554595E-05,-0.0891660548256561,0.0891909400839115
0.1,-2.51289400650834E-05,-0.107250535069429,0.107275664009493
0.12,-1.10818729187371E-05,-0.124995159684081,0.125006241557
0.14,-1.15350636772282E-05,-0.144935149690675,0.144946684754352
0.16,-2.20081786788433E-05,-0.167659054859318,0.167681063037997
0.18,-3.60568814444001E-05,-0.192335719709561,0.192371776591006
0.2,-4.38524877168583E-05,-0.21583791395847,0.215881766446186
0.22,-3.09293488656404E-05,-0.237154237758383,0.237185167107249
0.24,-3.73510641895561E-05,-0.259936210495482,0.259973561559671
0.26,-5.04097656153702E-05,-0.284004064811363,0.284054474576978
0.28,-6.09031514401557E-05,-0.30574450269761,0.305805405849051
0.3,-6.40383226579025E-05,-0.322643894270767,0.322707932593425
0.32,-5.28893445405363E-05,-0.337901072917322,0.337953962261862
0.34,-5.37713813157877E-05,-0.352890364950741,0.352944136332057
0.36,-6.00492512356763E-05,-0.370856324049358,0.370916373300594
0.38,-7.11174889897809E-05,-0.392068319913019,0.392139437402008
0.4,-8.0510790039074E-05,-0.411783697603447,0.411864208393486
0.42,-6.67358497309714E-05,-0.428045125320084,0.428111861169815
0.44,-7.07176625438934E-05,-0.445237000848387,0.44530771851093
0.46,-8.30163637383374E-05,-0.463095495643464,0.463178512007202
0.48,-9.03657253921814E-05,-0.479258166580537,0.479348532305929
0.5,-9.02766911171233E-05,-0.491872350254634,0.491962626945751
0.52,-7.82720791636843E-05,-0.50272188248512,0.502800154564284
0.54,-7.26776312773836E-05,-0.513979616670119,0.514052294301396
0.56,-7.59711157222679E-05,-0.528331498097065,0.528407469212787
0.58,-8.54746593381307E-05,-0.546153624560561,0.546239099219899
0.6,-9.36681826312883E-05,-0.563302150586718,0.56339581876935
0.62,-7.69974467366966E-05,-0.577236166909501,0.577313164356238
0.64,-7.70315342096834E-05,-0.592526523929137,0.592603555463346
0.66,-8.80558654273537E-05,-0.608764797344999,0.608852853210426
0.68,-9.63995900336909E-05,-0.623636810242814,0.623733209832848
0.7,-9.61992195126007E-05,-0.635117807280706,0.635214006500219
0.72,-8.38074996806561E-05,-0.644715168391963,0.644798975891644
0.74,-7.69810990843789E-05,-0.655262751066653,0.655339732165738
0.76,-7.86163016440558E-05,-0.668744668214674,0.668823284516317
0.78,-8.80751093873527E-05,-0.68548479461277,0.685572869722158
0.8,-9.71479598517701E-05,-0.702116638489095,0.702213786448947
0.82,-8.08519666739573E-05,-0.716119193071834,0.716200045038508
0.84,-8.01524709454828E-05,-0.73241762470106,0.732497777172006
0.86,-9.07591880616792E-05,-0.749303449351621,0.749394208539682
0.88,-9.89359084421931E-05,-0.762658283324125,0.762757219232567
0.9,-0.000100228100280581,-0.773083683916834,0.773183912017115
0.92,-8.65893133527682E-05,-0.78193732438781,0.782023913701163
0.94,-7.89364683877485E-05,-0.792927540503606,0.793006476971993
0.96,-8.16899522029621E-05,-0.808104008961346,0.808185698913549
0.98,-9.09909324988351E-05,-0.825387174363705,0.825478165296204
1,-9.99278591428035E-05,-0.842098392974914,0.842198320834057
1.02,-8.63790799946966E-05,-0.856163408833398,0.856249787913393
1.04,-8.44152948336542E-05,-0.871894895106552,0.871979310401386
1.06,-9.24957235916185E-05,-0.88975963016552,0.889852125889112
1.08,-0.000100749232542065,-0.907280677528922,0.907381426761464
1.1,-0.000104423643200936,-0.921470038430291,0.921574462073491
1.12,-9.38434319454663E-05,-0.93376555600634,0.933859399438285
1.14,-8.9454444663968E-05,-0.946843329536263,0.946932783980928
1.16,-9.00760345069051E-05,-0.963530725609552,0.963620801644059
1.18,-9.58324068030055E-05,-0.985322663825424,0.985418496232228
1.2,-0.000107799837859287,-1.00870959542608,1.00881739526394
1.22,-9.7529445640316E-05,-1.02982370426791,1.02992123371354
1.24,-9.67253880439075E-05,-1.05370046753616,1.0537971929242
1.26,-0.000110647806253022,-1.08113176612201,1.08124241392826
1.28,-0.000123106714077826,-1.10828779943855,1.10841090615263
1.3,-0.000128467522423818,-1.13368662269847,1.1338150902209
1.32,-0.000118965301966722,-1.15837878238868,1.15849774769065
1.34,-0.000112497141542991,-1.18447937706144,1.18459187420299
1.36,-0.000117895430229794,-1.21526644484163,1.21538434027185
1.38,-0.000131048879085098,-1.25123565510174,1.25136670398082
1.4,-0.000145159485296295,-1.28856541700291,1.28871057648821
1.42,-0.000137204532029542,-1.3228332816243,1.32297048615632
1.44,-0.000135861753121965,-1.35805138845708,1.35818725021021
1.46,-0.000146956791380149,-1.39636117366573,1.39650813045711
1.48,-0.00015828902923368,-1.4362812629178,1.43643955194703
1.5,-0.000169334269052594,-1.47361907844271,1.47378841271177
1.52,-0.000162476294633829,-1.50756929981154,1.50773177610618
1.54,-0.000159342034267731,-1.54067161589351,1.54083095792778
1.56,-0.000162657217806921,-1.5771215854934,1.5772842427112
1.58,-0.000167839227630778,-1.6201029277842,1.62027076701183
1.6,-0.000182436085609536,-1.66643699958389,1.6666194356695
1.62,0.0766785528699013,-1.66576596071493,1.58908740784503
1.64,0.259863984261667,-1.6004007641548,1.34053677989313
1.66,0.431071350643821,-1.53576392612041,1.10469257547659
1.68,0.589656669646889,-1.46773841351313,0.878081743866241
1.7,0.740567696480482,-1.39609461534527,0.655526918864789
1.72,0.890985100845348,-1.32266770590375,0.4316826050584
1.74,1.04460969182775,-1.250819945963,0.206210254135254
1.76,1.18751095528904,-1.18853750653447,0.00102655124542947
1.78,1.21629401688599,-1.21616151542956,-0.000132501456428946
1.8,1.24173562568047,-1.24161544263876,-0.000120183041707549
1.82,1.26567278472457,-1.26554593091785,-0.000126853806713921
1.84,1.29138167266652,-1.29124932362209,-0.000132349044436244
1.86,1.31606729305454,-1.31595013908565,-0.0001171539688856
1.88,1.33871182626922,-1.33860198068104,-0.000109845588184423
1.9,1.35563539679256,-1.3555324879221,-0.000102908870465555
1.92,1.3706627869047,-1.37055110368152,-0.000111683223174155
1.94,1.38743683616468,-1.38731741415394,-0.000119422010745967
1.96,1.40388053047601,-1.40377024389808,-0.000110286577932277
1.98,1.42298286993575,-1.4228790505157,-0.00010381942004656
2,1.44065103789111,-1.44056092357065,-9.01143204600063E-05
2.02,1.4554698836028,-1.4553753685608,-9.45150420065377E-05
2.04,1.47179830985343,-1.47169487759827,-0.000103432255155829
2.06,1.48783768507259,-1.48774697051236,-9.07145602315751E-05
2.08,1.5000938157455,-1.50000959899645,-8.42167490457957E-05
2.1,1.50878882515602,-1.50870685953488,-8.19656211431629E-05
2.12,1.51619476658078,-1.51610437224074,-9.03943400246423E-05
2.14,1.52604531633404,-1.52594422891415,-0.000101087419891139
2.16,1.53858148152567,-1.53848326152523,-9.82200004435296E-05
2.18,1.55244299495705,-1.55235188441717,-9.11105398891453E-05
2.2,1.56535360036937,-1.56527380578625,-7.97945831254764E-05
2.22,1.57618272026472,-1.57609834929646,-8.43709682589844E-05
2.24,1.58902660181949,-1.58892994667504,-9.66551444638286E-05
2.26,1.60224053898019,-1.6021532609993,-8.72779809002288E-05
2.28,1.61319625981566,-1.61311479492728,-8.14648883744738E-05
2.3,1.62108708790651,-1.6210103047583,-7.67831482141655E-05
2.32,1.62714831765862,-1.62706397652082,-8.43411377975789E-05
2.34,1.63549126714845,-1.63539469006146,-9.65770869859762E-05
2.36,1.6458392773278,-1.64574470556388,-9.45717639295651E-05
2.38,1.65834210849204,-1.65825184986479,-9.02586272549067E-05
2.4,1.67076465149008,-1.67068631521963,-7.83362704497306E-05
2.42,1.68115428440024,-1.68107430798302,-7.99764172267258E-05
2.44,1.69382691991828,-1.69373430405531,-9.26158629709818E-05
2.46,1.70766574276626,-1.70758383949678,-8.19032694687806E-05
2.48,1.71783178560116,-1.71775195374723,-7.98318539330198E-05
2.5,1.72389159838962,-1.72381524548864,-7.63529009727821E-05
2.52,1.72872117655858,-1.72864078126621,-8.03952923728769E-05
2.54,1.73699826856692,-1.73690360712022,-9.46614466953383E-05
2.56,1.7484704128459,-1.74838107159704,-8.93412488686958E-05
2.58,1.76142176544858,-1.76133700225369,-8.47631948916128E-05
2.6,1.77355005012372,-1.77347456104379,-7.54890799323828E-05
2.62,1.78359884830292,-1.78352353544042,-7.53128625092446E-05
2.64,1.7953119539816,-1.79522251769255,-8.94362890489892E-05
2.66,1.80847846163982,-1.80839829011256,-8.01715272596476E-05
2.68,1.82201552722467,-1.8219433571184,-7.21701062742358E-05
2.7,1.83195512099143,-1.83188860000452,-6.65209869137923E-05
2.72,1.83865182047393,-1.83858026447649,-7.15559974385211E-05
2.74,1.84852121757553,-1.84843784825577,-8.3369319754761E-05
2.76,1.85940489719083,-1.85932478923202,-8.01079588072469E-05
2.78,1.87470688341764,-1.87463172299845,-7.51604191864154E-05
2.8,1.89204685682942,-1.891985106322,-6.17505074364197E-05
2.82,1.90765951369601,-1.90760374578403,-5.57679119767013E-05
2.84,1.92535148734536,-1.92528006671586,-7.14206295038874E-05
2.86,1.94506754206577,-1.94500924608805,-5.82959777223072E-05
2.88,1.96272453706385,-1.96268055533687,-4.39817269801453E-05
2.9,1.97688069016787,-1.97684278569883,-3.79044690394811E-05
2.92,1.98927902587891,-1.98924006571344,-3.89601654710085E-05
2.94,2.00582845194933,-2.00577603257179,-5.24193775351043E-05
2.96,2.024977631065,-2.02492847914444,-4.91519205522747E-05
2.98,2.04614079685006,-2.04610539108923,-3.54057608305628E-05
3,2.06712093705016,-2.06710116582588,-1.97712242817694E-05
3.02,2.0853271853288,-2.08531358650534,-1.35988234558699E-05
3.04,2.10420200053386,-2.10417077290805,-3.12276258133124E-05
3.06,2.12386536157049,-2.12384513417187,-2.02273986164961E-05
3.08,2.14391141829899,-2.14390216085911,-9.25743987827951E-06
3.1,2.16001739384924,-2.16001913166787,1.73781862130696E-06
3.12,2.17036564209634,-2.1703704686232,4.82652685591088E-06
3.14,2.18368622393743,-2.18367162384739,-1.46000900418065E-05
3.16,2.19628776519055,-2.19627856065467,-9.20453587763021E-06
3.18,2.21260845308642,-2.21260641246965,-2.04061676726841E-06
3.2,2.2319688145167,-2.23198010733918,1.12928224792897E-05
3.22,2.24853210813715,-2.24855468632195,2.25781848017969E-05
3.24,2.26341460781929,-2.26341777690088,3.16908159136659E-06
3.26,2.28060053479755,-2.28061522979502,1.46949974683501E-05
3.28,2.2958039858781,-2.29583411177635,3.01258982449519E-05
3.3,2.30680387028209,-2.30684262416639,3.87538843064177E-05
3.32,2.31485146808011,-2.31489261173115,4.11436510411478E-05
3.34,2.32414032264192,-2.32416145216353,2.11295216135379E-05
3.36,2.3357455819946,-2.33576884550284,2.32635082421714E-05
3.38,2.35005409743279,-2.35008837669736,3.42792645552712E-05
3.4,2.36576072239502,-2.36580858484306,4.78624480348984E-05
3.42,2.3808168595582,-2.38087538721001,5.85276518044643E-05
3.44,2.3921370226451,-2.39217616098413,3.91383390330991E-05
3.46,2.40628687816167,-2.4063351231328,4.82449711322936E-05
3.48,2.42196437460157,-2.42202362497765,5.92503760834652E-05
3.5,2.43549150219541,-2.43555958799605,6.80858006447461E-05
3.52,2.4437101832694,-2.44378470792517,7.45246557695158E-05
3.54,2.45170054626101,-2.45175828953051,5.77432694941702E-05
3.56,2.45887197794947,-2.45893279956212,6.08216126488585E-05
3.58,2.46900715235465,-2.46907287123751,6.57188828693675E-05
3.6,2.48326923207237,-2.48334266626427,7.34341919050424E-05
3.62,2.49667105707914,-2.49675609205074,8.50349715973253E-05
3.64,2.50515725066238,-2.50522537682045,6.81261580764047E-05
3.66,2.51611175114937,-2.51618526622972,7.35150803524456E-05
3.68,2.52776286393202,-2.52784849219846,8.56282664421599E-05
3.7,2.53644052542165,-2.53653197913419,9.14537125447995E-05
3.72,2.54136628705788,-2.5414587764109,9.24893530120748E-05
3.74,2.54568373444863,-2.54576278005658,7.90456079509097E-05
3.76,2.55102836070632,-2.55110148689111,7.31261847884862E-05
3.78,2.55968345464559,-2.55976082753834,7.73728927395313E-05
3.8,2.57115296824159,-2.5712394984852,8.65302436054672E-05
3.82,2.58231119241548,-2.58240609621376,9.49037982825467E-05
3.84,2.58920998732801,-2.58928837306239,7.83857343865476E-05
