"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.002,5.03492775142723E-06,0.000186227442388489,-0.000191262370139917
0.004,7.81456713879822E-06,-0.00197825887473702,0.00197044430759822
0.024,7.32486398086301E-06,-0.0244042926044827,0.0243969677405018
0.044,-4.61749698457635E-07,-0.0481641655905181,0.0481646273402165
0.064,-1.31956712860672E-05,-0.0708881100139164,0.0709013056852025
0.084,-2.08529359455305E-05,-0.092408406812533,0.0924292597484785
0.104,-2.04720258166782E-05,-0.11229921807152,0.112319690097337
0.124,-1.24334614939087E-05,-0.131854561730189,0.131866995191683
0.144,-1.51118128234903E-05,-0.152818631559297,0.152833743372121
0.164,-1.86456623241981E-05,-0.176957374535638,0.176976020197963
0.184,-3.35203396845915E-05,-0.201676303669835,0.201709824009519
0.204,-4.20898215649038E-05,-0.224996715014067,0.225038804835632
0.224,-2.59045214010546E-05,-0.246218482830292,0.246244387351693
0.244,-3.74945102252592E-05,-0.272088091430004,0.272125585940229
0.264,-4.95667985341036E-05,-0.298054976621628,0.298104543420162
0.284,-6.13062946276174E-05,-0.318641312642403,0.318702618937031
0.304,-6.3788650722077E-05,-0.335948987625743,0.336012776276466
0.324,-4.89431274558598E-05,-0.3540175283351,0.354066471462555
0.344,-5.44398078643968E-05,-0.373250860353008,0.373305300160872
0.364,-6.34067177548624E-05,-0.394728978891118,0.394792385608873
0.384,-7.59645874761165E-05,-0.415751163955017,0.415827128542494
0.404,-8.24308774734692E-05,-0.432358035068671,0.432440465946144
0.424,-6.50732298158316E-05,-0.45021514322366,0.450280216453475
0.444,-7.38649314416783E-05,-0.467781206825111,0.467855071756552
0.464,-8.62297315081383E-05,-0.481761049799222,0.481847279530731
0.484,-9.11304657764015E-05,-0.494982367535419,0.495073498001196
0.504,-8.88539000595268E-05,-0.506808400497414,0.506897254397474
0.524,-8.03862413984202E-05,-0.517164368814238,0.517244755055637
0.544,-7.75305645710111E-05,-0.53039183580877,0.530469366373341
0.564,-7.77053468269036E-05,-0.544542056768703,0.54461976211553
0.584,-8.7540693541799E-05,-0.558234061592708,0.55832160228625
0.604,-9.13399442517287E-05,-0.572578107943859,0.572669447888111
0.624,-7.62870185977044E-05,-0.585419599020397,0.585495886038994
0.644,-7.75573007745595E-05,-0.602420340245261,0.602497897546036
0.664,-8.41464305042406E-05,-0.618214308500593,0.618298454931097
0.684,-9.05748688861194E-05,-0.630874701683575,0.630965276552461
0.704000000000001,-9.25272481857625E-05,-0.642326886731201,0.642419413979387
